VCID	VC_taxonomy	VC_rank	VC_taxid	VC_linegae	VC_lifestyle	VC_host	VC_hostid	VC_host_lineage	VC_hostrange	lifestyle2
VC_0_0	Inoviridae	family	10860	Viruses;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;;	Virulent	Vibrio	662	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Virulent
VC_10_0	Caudoviricetes	class	2731619	Viruses;Uroviricota;Caudoviricetes;;;;	Temperate	Staphylococcus	1279	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Temperate+Virulent
VC_100_0	Rountreeviridae	family	2842327	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Rountreeviridae;;	Virulent	"Streptococcus,Staphylococcus"	1301;1279	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;|Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;	Unknown;corss-genus;corss-family;corss-order;single-class;single-phylum	Virulent
VC_1000_0	Myoviridae	family	10662	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;;	Temperate	Flavonifractor	946234	Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Temperate+Virulent
VC_1003_0	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Temperate	Unassigned	Unassigned	Unassigned	Unassigned	Temperate
VC_1004_0	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Unknown	"Caballeronia,Methylobacterium"	1827195;407	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Caballeronia;|Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;	Unknown;corss-genus;corss-family;corss-order;corss-class;single-phylum	Temperate+Virulent
VC_1005_0	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Temperate	Lachnoclostridium	1506553	Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Temperate+Virulent
VC_1008_0	Caudoviricetes	class	2731619	Viruses;Uroviricota;Caudoviricetes;;;;	Virulent	Bittarella	1929297	Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Bittarella;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Temperate+Virulent
VC_101_0	Andhravirus	genus	2732589	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Rountreeviridae;Andhravirus;	Virulent	Staphylococcus	1279	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Virulent
VC_1010_0	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Temperate	Unassigned	Unassigned	Unassigned	Unassigned	Temperate
VC_1010_1	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Unknown	Unassigned	Unassigned	Unassigned	Unassigned	Temperate+Virulent
VC_1013_0	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Virulent	"Pseudoflavonifractor,Flavonifractor"	1017280;946234	Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Pseudoflavonifractor;|Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor;	Unknown;corss-genus;single-family;single-order;single-class;single-phylum	Temperate+Virulent
VC_1014_0	Caudoviricetes	class	2731619	Viruses;Uroviricota;Caudoviricetes;;;;	Unknown	"Oscillibacter,Blautia"	459786;572511	Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Oscillibacter;|Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;	Unknown;corss-genus;corss-family;single-order;single-class;single-phylum	Temperate+Virulent
VC_1015_0	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Temperate	Collinsella	102106	Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Temperate
VC_1016_0	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Temperate	"Slackia,Enorma,Gordonibacter,Collinsella"	84108;1472762;644652;102106	Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;Slackia;|Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Enorma;|Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;Gordonibacter;|Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;	Unknown;corss-genus;corss-family;corss-order;single-class;single-phylum	Temperate+Virulent
VC_1017_0	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Temperate	"Eggerthellaceae,Eggerthella"	1643826;84111	Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;;|Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;Eggerthella;	Unknown;Unknown;single-family;single-order;single-class;single-phylum	Temperate+Virulent
VC_102_0	Podoviridae	family	10744	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;;	Virulent	Staphylococcus	1279	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Virulent
VC_1020_0	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Temperate	"Gordonibacter,Ellagibacter,Collinsella"	644652;2137577;102106	Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;Gordonibacter;|Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;Ellagibacter;|Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;	Unknown;corss-genus;corss-family;corss-order;single-class;single-phylum	Temperate+Virulent
VC_1021_0	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Unknown	"Bifidobacterium,Collinsella"	1678;102106	Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;|Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;	Unknown;corss-genus;corss-family;corss-order;corss-class;single-phylum	Temperate+Virulent
VC_1022_0	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Temperate	Olsenella	133925	Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Temperate
VC_1023_0	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Temperate	Collinsella	102106	Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Temperate+Virulent
VC_1024_0	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Temperate	"Slackia,Collinsella"	84108;102106	Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;Slackia;|Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;	Unknown;corss-genus;corss-family;corss-order;single-class;single-phylum	Temperate+Virulent
VC_1025_0	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Temperate	Unassigned	Unassigned	Unassigned	Unassigned	Temperate
VC_1026_0	Caudoviricetes	class	2731619	Viruses;Uroviricota;Caudoviricetes;;;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_1027_0	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Unknown	Unassigned	Unassigned	Unassigned	Unassigned	Temperate+Virulent
VC_1028_0	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Unknown	Unassigned	Unassigned	Unassigned	Unassigned	Temperate+Virulent
VC_1029_0	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Virulent	Pseudoalteromonas	53246	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Virulent
VC_103_0	Caudoviricetes	class	2731619	Viruses;Uroviricota;Caudoviricetes;;;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_1030_0	Podoviridae	family	10744	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_1031_0	Unassigned	Unassigned	Unassigned	Unassigned;Unassigned;Unassigned;Unassigned;Unassigned;Unassigned;Unassigned	Unknown	Unassigned	Unassigned	Unassigned	Unassigned	Temperate+Virulent
VC_1032_0	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Unknown	"Neisseria,Eikenella"	482;538	Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;|Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella;	Unknown;corss-genus;single-family;single-order;single-class;single-phylum	Temperate+Virulent
VC_1034_0	Myoviridae	family	10662	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;;	Temperate	Salmonella	590	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Temperate
VC_1036_0	Myoviridae	family	10662	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;;	Unknown	"Azospirillum,Treponema"	191;157	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Azospirillaceae;Azospirillum;|Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;	Unknown;corss-genus;corss-family;corss-order;corss-class;corss-phylum	Temperate+Virulent
VC_1037_0	Caudoviricetes	class	2731619	Viruses;Uroviricota;Caudoviricetes;;;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_1038_0	Caudoviricetes	class	2731619	Viruses;Uroviricota;Caudoviricetes;;;;	Virulent	"Escherichia,Proteus"	561;583	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;|Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;	Unknown;corss-genus;corss-family;single-order;single-class;single-phylum	Virulent
VC_1039_0	Myoviridae	family	10662	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_104_0	Podoviridae	family	10744	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;;	Unknown	Unassigned	Unassigned	Unassigned	Unassigned	Temperate+Virulent
VC_1040_0	Caudoviricetes	class	2731619	Viruses;Uroviricota;Caudoviricetes;;;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_1042_0	Myoviridae	family	10662	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;;	Temperate	Azospirillum	191	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Azospirillaceae;Azospirillum;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Temperate
VC_1043_0	Caudoviricetes	class	2731619	Viruses;Uroviricota;Caudoviricetes;;;;	Unknown	"Bilophila,Desulfovibrio"	35832;872	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Bilophila;|Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;	Unknown;corss-genus;single-family;single-order;single-class;single-phylum	Temperate+Virulent
VC_1044_0	Myoviridae	family	10662	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;;	Temperate	Unassigned	Unassigned	Unassigned	Unassigned	Temperate+Virulent
VC_1045_0	Pasteurella phage AFS-2018a	species	2201988	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;;Pasteurella phage AFS-2018a	Virulent	Haemophilus	724	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Virulent
VC_1046_0	Myoviridae	family	10662	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;;	Temperate	"Escherichia,Pectobacterium,Salmonella,Klebsiella"	561;122277;590;570	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;|Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pectobacteriaceae;Pectobacterium;|Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;|Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;	Unknown;corss-genus;corss-family;single-order;single-class;single-phylum	Temperate
VC_1047_0	Myoviridae	family	10662	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;;	Temperate	"Klebsiella,Pectobacterium,Pantoea,Salmonella,Erwinia,Leclercia"	570;122277;53335;590;551;83654	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;|Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pectobacteriaceae;Pectobacterium;|Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;|Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;|Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia;|Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Leclercia;	Unknown;corss-genus;corss-family;single-order;single-class;single-phylum	Temperate
VC_1048_0	Myoviridae	family	10662	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;;	Temperate	Escherichia	561	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Temperate+Virulent
VC_1049_0	Myoviridae	family	10662	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;;	Temperate	"Klebsiella,Halomonas,Raoultella,Salmonella"	570;2745;160674;590	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;|Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas;|Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Raoultella;|Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;	Unknown;corss-genus;corss-family;corss-order;single-class;single-phylum	Temperate
VC_105_0	Podoviridae	family	10744	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;;	Temperate	Unassigned	Unassigned	Unassigned	Unassigned	Temperate
VC_1050_0	Caudoviricetes	class	2731619	Viruses;Uroviricota;Caudoviricetes;;;;	Temperate	Lactobacillus	1578	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Temperate
VC_1051_0	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Temperate	Pediococcus	1253	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Pediococcus;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Temperate
VC_1052_0	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Temperate	Lactobacillus	1578	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Temperate+Virulent
VC_1053_0	Myoviridae	family	10662	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;;	Virulent	Campylobacter	194	Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Virulent
VC_1054_0	Myoviridae	family	10662	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;;	Virulent	Campylobacter	194	Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Virulent
VC_1055_0	Myoviridae	family	10662	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;;	Virulent	Mannheimia	75984	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Mannheimia;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Virulent
VC_1056_0	Vibrio phage Va1	species	2508852	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;;Vibrio phage Va1	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_1058_0	Bertelyvirus	genus	2733152	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Bertelyvirus;	Temperate	Reyranella	445219	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Reyranellaceae;Reyranella;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Temperate
VC_1058_1	Caudoviricetes	class	2731619	Viruses;Uroviricota;Caudoviricetes;;;;	Temperate	Unassigned	Unassigned	Unassigned	Unassigned	Temperate
VC_1058_2	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Temperate	Unassigned	Unassigned	Unassigned	Unassigned	Temperate
VC_1058_3	Caudoviricetes	class	2731619	Viruses;Uroviricota;Caudoviricetes;;;;	Temperate	Unassigned	Unassigned	Unassigned	Unassigned	Temperate
VC_1059_0	Caudoviricetes	class	2731619	Viruses;Uroviricota;Caudoviricetes;;;;	Temperate	Aquisalimonas	406099	Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Aquisalimonas;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Temperate
VC_106_0	Caudoviricetes	class	2731619	Viruses;Uroviricota;Caudoviricetes;;;;	Virulent	Atopobium	1380	Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Atopobium;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Virulent
VC_1060_0	Caudoviricetes	class	2731619	Viruses;Uroviricota;Caudoviricetes;;;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_1061_0	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Unknown	Unassigned	Unassigned	Unassigned	Unassigned	Temperate+Virulent
VC_1062_0	Podoviridae	family	10744	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;;	Unknown	Unassigned	Unassigned	Unassigned	Unassigned	Temperate+Virulent
VC_1063_0	Caudoviricetes	class	2731619	Viruses;Uroviricota;Caudoviricetes;;;;	Virulent	Vibrio	662	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Virulent
VC_1064_0	Pippivirus	genus	2843435	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Pippivirus;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_1065_0	Microviridae	family	10841	Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;;	Unknown	Unassigned	Unassigned	Unassigned	Unassigned	Temperate+Virulent
VC_1066_0	Caudoviricetes	class	2731619	Viruses;Uroviricota;Caudoviricetes;;;;	Virulent	Flavobacterium	237	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Virulent
VC_1067_0	Pipoluvirus rarus	species	2956321	Viruses;Uroviricota;Caudoviricetes;Crassvirales;Steigviridae;Pipoluvirus;Pipoluvirus rarus	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_1067_1	Pipoluvirus rarus	species	2956321	Viruses;Uroviricota;Caudoviricetes;Crassvirales;Steigviridae;Pipoluvirus;Pipoluvirus rarus	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_1068_0	Podoviridae	family	10744	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Temperate+Virulent
VC_1069_0	Caudoviricetes	class	2731619	Viruses;Uroviricota;Caudoviricetes;;;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_107_0	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Unknown	Unassigned	Unassigned	Unassigned	Unassigned	Temperate+Virulent
VC_1070_0	Podoviridae	family	10744	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_1070_1	Caudoviricetes	class	2731619	Viruses;Uroviricota;Caudoviricetes;;;;	Virulent	Campylobacter	194	Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Virulent
VC_1071_0	Lillamyvirus	genus	2843418	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Lillamyvirus;	Virulent	"Flavobacterium,Lacinutrix"	237;291183	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;|Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Lacinutrix;	Unknown;corss-genus;single-family;single-order;single-class;single-phylum	Virulent
VC_1072_0	Podoviridae	family	10744	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;;	Virulent	"Bacteroides,Prevotella"	816;838	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;|Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;	Unknown;corss-genus;corss-family;single-order;single-class;single-phylum	Virulent
VC_1073_0	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Temperate	Alistipes	239759	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Temperate
VC_1074_0	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Temperate	Capnocytophaga	1016	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Temperate+Virulent
VC_1075_0	Caudoviricetes	class	2731619	Viruses;Uroviricota;Caudoviricetes;;;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_1076_0	Myoviridae	family	10662	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;;	Virulent	Porphyromonadaceae	171551	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;;	Unknown;Unknown;single-family;single-order;single-class;single-phylum	Virulent
VC_1076_1	Myoviridae	family	10662	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_1076_2	Herelleviridae	family	2560065	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Herelleviridae;;	Virulent	Butyricimonas	574697	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Butyricimonas;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Virulent
VC_1077_0	Myoviridae	family	10662	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;;	Temperate	Riemerella	34084	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Riemerella;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Temperate
VC_1078_0	Myoviridae	family	10662	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;;	Temperate	"Roseburia,Faecalibacterium,Enterococcus,Blautia,Ruminococcus,Akkermansia,Candidatus Weimeria,Spirosoma"	841;216851;1350;572511;1263;239934;2675215;107	Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Roseburia;|Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;|Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;|Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;|Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Ruminococcus;|Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;|Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Candidatus Weimeria;|Bacteria;Bacteroidota;Cytophagia;Cytophagales;Cytophagaceae;Spirosoma;	Unknown;corss-genus;corss-family;corss-order;corss-class;corss-phylum	Temperate+Virulent
VC_1079_0	Myoviridae	family	10662	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;;	Temperate	"Ruminococcus,Kandleria"	1263;1279388	Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Ruminococcus;|Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Coprobacillaceae;Kandleria;	Unknown;corss-genus;corss-family;corss-order;corss-class;single-phylum	Temperate+Virulent
VC_108_0	uncultured Caudovirales phage	species	2100421	Viruses;Uroviricota;Caudoviricetes;Caudovirales;;;uncultured Caudovirales phage	Virulent	Staphylococcus	1279	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Virulent
VC_1083_0	Myoviridae	family	10662	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;;	Unknown	Unassigned	Unassigned	Unassigned	Unassigned	Temperate+Virulent
VC_1084_0	Myoviridae	family	10662	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;;	Temperate	Faecalibacterium	216851	Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Temperate+Virulent
