VCID	VC_taxonomy	VC_rank	VC_taxid	VC_linegae	VC_lifestyle	VC_host	VC_hostid	VC_host_lineage	VC_hostrange	lifestyle2
VC_6539_0	Myoviridae	family	10662	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Temperate+Virulent
VC_654_0	Mukerjeevirus	genus	2733146	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Schitoviridae;Mukerjeevirus;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_6540_0	Caudoviricetes	class	2731619	Viruses;Uroviricota;Caudoviricetes;;;;	Temperate	Clostridium	1485	Bacteria;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Temperate
VC_6542_0	Myoviridae	family	10662	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;;	Virulent	Clostridium	1485	Bacteria;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Virulent
VC_6544_0	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Virulent	Prevotella	838	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Virulent
VC_6546_0	uncultured Caudovirales phage	species	2100421	Viruses;Uroviricota;Caudoviricetes;Caudovirales;;;uncultured Caudovirales phage	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Temperate+Virulent
VC_6547_0	Herelleviridae	family	2560065	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Herelleviridae;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_6547_10	Herelleviridae	family	2560065	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Herelleviridae;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_6547_15	Herelleviridae	family	2560065	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Herelleviridae;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_6547_17	Herelleviridae	family	2560065	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Herelleviridae;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
